Rank,Corpus ID,Authors,Year,Title,DOI,DSD_variety,DSD_frequency,LSD_variety,LSD_frequency,PSD_variety,PSD_frequency,MSD_variety,MSD_frequency,Score,Matched_Terms
11,223,"Flachs A., Richards P.",2018,Playing development roles: The political ecology of performance in agricultural development,10.2458/v25i1.23089,3,12,5,7,6,12,2,3,94.3,DSD: agrarian studies*(1); political ecolog*(8); political econom*(3) | LSD: agraria(1); social(3); socio(1); theoretic*(1); socioecological*(1) | PSD: argue*(1); engage*(2); case stud*(1); collective*(2); vulnerab*(2); aspiration*(4) | MSD: decision*(2); stakeholder*(1)
12,430,Gallar‐hernández D.,2021,Forging political cadres for re‐peasantization: Escuela de acción campesina (spain),10.3390/su13074061,3,10,4,17,5,9,1,1,91.85,DSD: ethnograph*(3); sovereign*(4); food sovereign*(3) | LSD: ethno*(3); peasant*(8); pedagog*(4); school*(2) | PSD: case stud*(1); collective*(1); movement*(2); organization(1); training*(4) | MSD: implemented*(1)
13,1502,Akkuş A.,2026,Rethinking Food Ethics: A Normative Analysis of an Ecosocialist Framework and Case Studies of La Via Campesina and Güneşköy,10.1007/s10806-025-09971-3,3,6,6,9,13,20,2,3,91.3,DSD: justice*(3); sovereign*(2); food sovereign*(1) | LSD: gender*(1); peasant*(1); social(3); theoretic*(1); food regime*(1); democratic*(2) | PSD: argue*(2); implement(1); power(1); case stud*(2); commod*(1); commons*(1); food security*(2); food system*(1); market(2); movement*(2); paradigm*(1); systemic*(1); ethical*(3) | MSD: initiative*(1); security(2)
14,1466,Ravipati A.,2025,Women's empowerment in APCNF: A critical examination of feminist goals in agroecology,10.4337/9781803921150.00025,5,8,4,9,2,4,2,3,88.3,DSD: sociolog*(1); discourse*(1); feminis*(2); justice*(3); environmental justice*(1) | LSD: empower*(3); peasant*(2); social(2); food regime*(2) | PSD: corporat*(3); food security*(1) | MSD: security(1); societ*(2)
15,1142,Hearn A.H.,2025,Cuba's food sovereignty intermediaries [Les intermédiaires dans la souveraineté alimentaire de Cuba],10.1111/1467-9655.70009,2,16,3,3,8,9,1,1,87.85,DSD: sovereign*(9); food sovereign*(7) | LSD: anthropolog*(1); reform*(1); tradition(1) | PSD: argue*(1); case stud*(1); histor*(2); narrative*(1); question(1); urban(1); nutrition*(1); peri-urban*(1) | MSD: initiative*(1)
16,159,MacRae G.,2016,"Himalayan Agricultures, Ecologies and Local Food Sovereignties",10.1080/00664677.2016.1192989,4,9,5,5,5,6,2,3,87.8,DSD: sociolog*(1); sovereign*(4); food sovereign*(3); neoliberal*(1) | LSD: anthropolog*(1); farmer suicide*(1); agrarian distress*(1); food insecur*(1); malnutrition*(1) | PSD: argue*(1); corporat*(1); food security*(1); rural*(2); urban(1) | MSD: farmer(1); security(2)
17,726,Das S.,2023,Politically Branding India’s “First Fully Organic State”: Re-Signification of Traditional Practices and Markets in Organic Agriculture,10.1007/s10806-023-09915-9,5,10,3,4,4,4,2,3,87.3,DSD: discourse analysis*(1); discourse*(1); ethnograph*(2); hegemon*(3); neoliberal*(3) | LSD: ethno*(2); socio(1); middlem*(1) | PSD: engage*(1); paradigm*(1); certification*(1); organic market*(1) | MSD: farmer(1); governmental*(2)
18,739,"Gordon E., Davila F., Riedy C.",2023,Regenerative agriculture: a potentially transformative storyline shared by nine discourses,10.1007/s11625-022-01281-1,4,17,1,1,2,2,1,1,87.1,DSD: discourse analysis*(1); discourse*(14); sovereign*(1); food sovereign*(1) | LSD: socio(1) | PSD: transform(1); vulnerab*(1) | MSD: modern(1)
19,111,"Martínez-Torres M.E., Rosset P.M.",2014,Diálogo de saberes in La Vía Campesina: food sovereignty and agroecology,10.1080/03066150.2013.872632,5,10,2,5,5,9,1,1,85.85,DSD: epistemolog*(1); social movement*(2); sovereign*(3); food sovereign*(3); neoliberal*(1) | LSD: peasant*(2); social(3) | PSD: collective*(1); movement*(2); rural*(4); agribusiness*(1); pastoral*(1) | MSD: farmer(1)
20,601,"Guzmán Luna A., Bacon C.M., Méndez V.E., Flores Gómez M.E., Anderzén J., Mier y Terán Giménez Cacho M., Hernández Jonapá R., Rivas M., Duarte Canales H.A., Benavides González Á.N.",2022,Toward Food Sovereignty: Transformative Agroecology and Participatory Action Research With Coffee Smallholder Cooperatives in Mexico and Nicaragua,10.3389/fsufs.2022.810840,2,9,5,12,6,6,4,9,83.4,DSD: sovereign*(5); food sovereign*(4) | LSD: cooperat*(7); education(1); focus group*(1); pedagog*(1); livelihood*(2) | PSD: collective*(1); commod*(1); household(1); income*(1); systemic*(1); capacity building*(1) | MSD: knowledge(1); discussion*(1); farmer(5); strateg*(2)
21,6927,"Malaiappan, Sudharsan; Krishnan, S.; Gadewar, P.; Sharma, H.; Priyadarshini, P.; Thakur, A.; Ganvir, S.; Acharya, P.; Kumar, Gopal; Shijagurumayum, M. S.; Singh, Sonali; Samaddar, A.; Alvi, Muzna; Borah, Gulshan; Sikka, Alok",2024,"Agroecological insights for Mandla, Madhya Pradesh, India: a contextual analysis for sustainable transformation",,0,0,11,20,9,14,10,17,83.2,LSD: -econo*(1); labour*(2); school*(1); social(3); socio(1); value chain*(3); panchayat*(1); self-help group*(1); tribal*(3); multistakeholder*(1); livelihood*(3) | PSD: financ*(1); food system*(1); governance*(3); market(1); organization(1); price(1); rural*(3); access to*(2); capacity building*(1) | MSD: knowledge(4); adoption*(1); farmer(2); implemented*(1); initiative*(2); seasonal*(1); wage*(1); transport*(1); livestock*(2); cattle*(2)
22,517,"Di Muzio T., Dow M.",2022,COVID-19 AND THE GLOBAL POLITICAL ECONOMY: Crises in the 21st Century,10.4324/9781003250432,4,12,2,2,6,6,1,1,82.1,DSD: sociolog*(1); political econom*(7); political science*(1); neoliberal*(3) | LSD: anthropolog*(1); social(1) | PSD: argue*(1); corporat*(1); commons*(1); financ*(1); histor*(1); debt*(1) | MSD: tourism*(1)
23,357,"Schreer V., Padmanabhan M.",2020,The many meanings of organic farming: framing food security and food sovereignty in Indonesia,10.1007/s13165-019-00277-z,4,8,3,4,8,12,4,7,81.7,DSD: discourse*(1); social movement*(1); sovereign*(3); food sovereign*(3) | LSD: cooperat*(1); peasant*(1); social(2) | PSD: engage*(1); case stud*(1); food security*(3); governance*(1); innovation*(1); market(1); movement*(3); spiritual*(1) | MSD: farmer(1); security(3); societ*(1); sufficiency*(2)
24,250,"Anderson C.R., Bruil J., Chappell M.J., Kiss C., Pimbert M.P.",2019,From transition to domains of transformation: Getting to sustainable and just food systems through agroecology,10.3390/su11195272,4,6,3,6,10,19,3,4,80.65,DSD: discourse*(1); justice*(3); sovereign*(1); food sovereign*(1) | LSD: autonomy*(1); gender*(1); social(4) | PSD: power(3); food security*(2); food system*(3); governance*(5); histor*(1); organization(1); perspective(1); access to*(1); disab*(1); aspiration*(1) | MSD: knowledge(1); security(2); think*(1)
25,1087,"Amalan A.A., Aram I.A.",2025,Artificial Intelligence Adoption in Non-Chemical Agriculture: An Integrated Mechanism for Sustainable Practices,10.3390/su17198865,3,10,4,4,4,6,4,10,79.5,DSD: discourse analysis*(2); discourse*(2); justice*(6) | LSD: -econo*(1); focus group*(1); labour*(1); socio(1) | PSD: communicat*(1); extension(2); narrative*(1); resilience*(2) | MSD: adoption*(7); perception*(1); practitioner*(1); strateg*(1)
26,174,Pimbert M.P.,2017,"Democratizing knowledge and ways of knowing for food sovereignty, agroecology and biocultural diversity",10.4324/9781315666396,5,11,1,2,3,3,2,4,79.15,DSD: justice*(1); social movement*(1); sovereign*(3); food sovereign*(3); biocultural*(3) | LSD: social(2) | PSD: food system*(1); movement*(1); paradigm*(1) | MSD: knowledge(3); literate*(1)
27,881,Zhang Q.F.,2024,From Sustainable Agriculture to Sustainable Agrifood Systems: A Comparative Review of Alternative Models,10.3390/su16229675,4,7,2,5,12,13,1,1,77.85,DSD: justice*(3); political econom*(2); sovereign*(1); food sovereign*(1) | LSD: alternative food network*(2); social(3) | PSD: engage*(1); implement(1); corporat*(1); power(1); food system*(1); governance*(1); market(2); movement*(1); perspective(1); systemic*(1); resilience*(1); grassroots*(1) | MSD: adopting*(1)
28,192,"McCune N., Rosset P.M., Cruz Salazar T., Morales H., Saldívar Moreno A.",2017,"The Long Road: Rural Youth, Farming and Agroecological Formación in Central America",10.1080/10749039.2017.1293690,5,5,4,6,3,5,2,2,77.45,DSD: social movement*(1); sovereign*(1); land reform*(1); food sovereign*(1); neoliberal*(1) | LSD: education(1); peasant*(3); reform*(1); social(1) | PSD: movement*(1); rural*(3); youth*(1) | MSD: family(1); people*(1)
29,876,"Jayaraman A., Rajan S.C., Ramu P.",2024,Food system resilience: Unraveling power relations and the Matthew effect in farmers networks,10.1016/j.techfore.2023.123144,1,1,9,18,7,21,1,3,77.05,DSD: gender equalit*(1) | LSD: -econo*(2); cooperat*(1); gender*(1); social(4); socio(2); value chain*(1); social network*(4); inequalit*(2); democratic*(1) | PSD: power(6); food system*(5); governance*(1); market(1); rural*(3); resilience*(4); grassroots*(1) | MSD: farmer(3)
30,728,Stock R.,2023,Power for the Plantationocene: solar parks as the colonial form of an energy plantation,10.1080/03066150.2022.2120812,4,5,5,6,3,9,2,2,75.45,DSD: intersectional*(1); justice*(2); caste*(1); gendered*(1) | LSD: gender*(1); peasant*(2); social(1); landless*(1); dispossess*(1) | PSD: argue*(1); power(7); transform(1) | MSD: implementing(1); societ*(1)
31,388,"Dumont A.M., Wartenberg A.C., Baret P.V.",2021,Bridging the gap between the agroecological ideal and its implementation into practice. A review,10.1007/s13593-021-00666-3,4,5,4,9,4,4,2,2,74.2,DSD: sociolog*(1); justice*(2); social movement*(1); food justice*(1) | LSD: learn*(1); social(2); socioeconomic*(5); theoretic*(1) | PSD: case stud*(1); governance*(1); histor*(1); movement*(1) | MSD: law*(1); practitioner*(1)
32,944,"Behl P., Osbahr H., Cardey S.",2024,"New Possibilities for Women’s Empowerment through Agroecology in Himachal Pradesh, India",10.3390/su16010140,2,5,5,13,4,6,6,10,71.5,DSD: sovereign*(3); food sovereign*(2) | LSD: autonomy*(1); empower*(4); gender*(3); decision making*(3); livelihood*(2) | PSD: case stud*(3); income*(1); rural*(1); training*(1) | MSD: knowledge(1); adopting*(1); decision*(3); farmer(1); initiative*(3); village*(1)
33,229,Jakobsen J.,2018,"Towards a Gramscian food regime analysis of India's agrarian crisis: Counter-movements, petrofarming and Cheap Nature",10.1016/j.geoforum.2018.01.015,3,8,3,11,2,5,0,0,71.25,DSD: gramsci*(5); polanyi*(1); political ecolog*(2) | LSD: socioecological*(1); food regime*(7); agrarian crisis*(3) | PSD: argue*(2); movement*(3)
34,511,"Vergara-Camus L., Jansen K.",2022,"Autonomy in agrarian studies, politics, and movements: An inter-paradigm debate",10.1111/joac.12500,2,6,4,16,4,8,1,2,70.7,DSD: agrarian studies*(4); social movement*(2) | LSD: autonomy*(9); reform*(1); social(4); theoretic*(2) | PSD: collective*(2); movement*(4); paradigm*(1); rural*(1) | MSD: discussion*(2)
35,114,"Schiff R., Levkoe C.Z.",2014,From disparate action to collective mobilization: Collective action frames and the Canadian food movement,10.1108/S2051-503020140000015009,4,4,4,5,6,12,1,1,70.6,DSD: justice*(1); social movement*(1); sovereign*(1); food sovereign*(1) | LSD: alternative food network*(1); collaborat*(1); social(2); theoretic*(1) | PSD: argue*(1); case stud*(1); collective*(3); food security*(1); food system*(2); movement*(4) | MSD: security(1)
36,297,"Pretty J., Attwood S., Bawden R., van den Berg H., Bharucha Z.P., Dixon J., Flora C.B., Gallagher K., Genskow K., Hartley S.E., Ketelaar J.W., Kiara J.K., Kumar V., Lu Y., MacMillan T., Maréchal A., Morales-Abubakar A.L., Noble A., Vara Prasad P.V., Rametsteiner E., Reganold J., Ricks J.I., Rockström J., Saito O., Thorne P., Wang S., Wittman H., Winter M., Yang P.",2020,Assessment of the growth in social groups for sustainable agriculture and land management,10.1017/sus.2020.19,3,3,4,18,4,7,1,1,70.35,DSD: political econom*(1); social movement*(1); neoliberal*(1) | LSD: collaborat*(1); cooperat*(1); social(12); social capital*(4) | PSD: collective*(2); innovation*(1); movement*(2); rural*(2) | MSD: initiative*(1)
37,273,"McCune N., Sánchez M.",2019,Teaching the territory: agroecological pedagogy and popular movements,10.1007/s10460-018-9853-9,1,1,8,18,6,13,1,1,69.85,DSD: social movement*(1) | LSD: education(4); learn*(1); peasant*(7); pedagog*(2); school*(1); social(1); socio(1); theoretic*(1) | PSD: collective*(1); histor*(2); movement*(5); organizational*(1); territorial*(3); training*(1) | MSD: embedded*(1)
38,590,"McCune N., Sánchez M.",2022,Teaching the territory: Agroecological pedagogy and popular movements,10.1007/978-3-031-19400-9_6,1,1,8,18,6,13,1,1,69.85,DSD: social movement*(1) | LSD: education(4); learn*(1); peasant*(7); pedagog*(2); school*(1); social(1); socio(1); theoretic*(1) | PSD: collective*(1); histor*(2); movement*(5); organizational*(1); territorial*(3); training*(1) | MSD: embedded*(1)
39,284,"Anderson C.R., Bruil J., Chappell M.J., Kiss C., Pimbert M.P.",2020,Agroecology Now!: Transformations Towards More Just and Sustainable Food Systems,10.1007/978-3-030-61315-0,4,4,3,3,9,16,3,3,69.8,DSD: political ecolog*(1); sovereign*(1); land reform*(1); food sovereign*(1) | LSD: reform*(1); social(1); food regime*(1) | PSD: argue*(1); corporat*(1); power(2); food security*(1); food system*(6); governance*(2); organization(1); resilience*(1); disab*(1) | MSD: farmer(1); researcher*(1); security(1)
40,341,Sanford A.W.,2020,"Religion, food, and agriculture: Three case studies",10.1002/9781118660072.ch20,4,5,4,5,3,3,2,3,69.05,DSD: justice*(2); sovereign*(1); food sovereign*(1); food justice*(1) | LSD: -econo*(1); labour*(2); social(1); socio(1) | PSD: case stud*(1); histor*(1); hindu*(1) | MSD: sacred*(1); ritual*(2)
41,113,"Rosset P.M., Martínez-Torres M.E.",2014,Food sovereignty and agroecology in the convergence of rural social movements,10.1108/S1057-192220140000021001,3,9,2,7,3,10,0,0,68.5,DSD: social movement*(3); sovereign*(3); food sovereign*(3) | LSD: peasant*(3); social(4) | PSD: collective*(3); movement*(3); rural*(4)
42,6862,Manjeet Singh Nain,2023,Editorial,,0,0,9,13,8,16,10,15,67.5,LSD: attitude(1); cooperat*(1); education(2); empower*(2); gender*(3); learn*(1); marketing*(1); tribal*(1); livelihood*(1) | PSD: extension(5); food security*(2); food system*(3); household(1); training*(1); nutrition*(2); resilience*(1); aspiration*(1) | MSD: knowledge(2); adopting*(2); adoption*(1); garden*(1); legal*(1); people*(1); perception*(1); security(4); societ*(1); livestock*(1)
43,984,Fazli C.E.,2024,Reflections on &#x2028;Agroecology and Social Justice in Malwa-Nimar,10.1177/09730052241284708,3,5,4,11,3,5,0,0,67.25,DSD: justice*(3); caste*(1); gender equit*(1) | LSD: gender*(2); labour*(1); social(4); inequalit*(4) | PSD: histor*(2); movement*(1); rural*(2)
44,441,"Fernandes I.F., Barbosa L.P., Dos Santos Damasceno C., Rosset P.M.",2021,"Inventory of Agroecological Practices as part of the ""Peasant to Peasant"" Methodology in Ceará: An instrument to decolonize a territory and (re)value peasant knowledge [Inventário de Práticas Agroecológicas na Metodologia ""de Camponês/a a Camponês/a"" no Ceará: Um instrumento para descolonizar o território e (re)valorizar o conhecimento camponês]",10.5380/dma.v58i0.77777,2,4,5,14,4,6,1,4,66.4,DSD: decolonization*(3); land reform*(1) | LSD: peasant*(10); reform*(1); settlement*(1); landless*(1); Green Revolution*(1) | PSD: collective*(1); movement*(1); rural*(1); territorial*(3) | MSD: knowledge(4)
45,1515,"Anderson C.R., Ferrando T., Blay-Palmer A., Espinosa-García F.J., Cabral L., Termine P., Wilkes J., Soma T., Bhalla G., Madzorera I., Antwi-Agyei P., Zurek M.",2026,Time for a vision exam: diagnosing problems in the pursuit of equitably transformative resilience in food systems,10.1080/21683565.2025.2588252,4,4,3,3,6,14,2,2,65.7,DSD: human rights*(1); intersectional*(1); sovereign*(1); food sovereign*(1) | LSD: social(1); inequit*(1); inequalit*(1) | PSD: food security*(1); food system*(4); histor*(1); vulnerab*(1); nutrition*(1); resilience*(6) | MSD: security(1); think*(1)
46,778,"Sony R.K., Münster D., Krishnan S.",2023,"What counts as evidence? Examining the controversy over pesticide exposure and etiology in an environmental justice movement in Kerala, India",10.1080/23251042.2022.2124625,3,8,3,4,2,5,1,1,64.85,DSD: sociolog*(1); justice*(4); environmental justice*(3) | LSD: farmworker*(1); socioecological*(1); pesticide exposure*(2) | PSD: argue*(2); movement*(3) | MSD: knowledge(1)
47,77,"Rosset P.M., Martínez-Torres M.E.",2012,"Rural social movements and agroecology: Context, theory, and process",10.5751/ES-05000-170317,2,6,3,10,4,15,2,6,63.35,DSD: discourse*(1); social movement*(5) | LSD: peasant*(4); social(5); theoretic*(1) | PSD: corporat*(1); movement*(9); rural*(4); agribusiness*(1) | MSD: family(1); farmer(5)
48,1120,"Nichols C.E., Kumari N.",2025,Centering the body in agricultural development: Bridging conceptualizations of bodies-as-mechanism and bodies-as-affective,10.1016/j.socscimed.2024.117593,2,2,6,8,6,21,0,0,63.25,DSD: discourse*(1); political ecolog*(1) | LSD: disciplinary(1); gender*(2); social(2); reproductive*(1); inequit*(1); food insecur*(1) | PSD: engage*(1); engaged*(1); food system*(1); rural*(3); nutrition*(9); wellbeing*(6)
49,363,Brown T.,2020,When food regimes become hegemonic: Agrarian India through a Gramscian lens,10.1111/joac.12344,2,8,2,9,5,8,1,1,62.6,DSD: gramsci*(3); hegemon*(5) | LSD: inequit*(1); food regime*(8) | PSD: argue*(1); engage*(1); corporat*(1); question(1); rural*(4) | MSD: illustrate(1)
50,1388,"Masenya T.M., Bhuda M.T.",2025,Revaluation and preservation of indigenous knowledge systems in modern society,10.4018/979-8-3693-7964-6,2,2,5,14,2,2,6,29,62.4,DSD: sociolog*(1); biocultural*(1) | LSD: anthropolog*(1); education(1); learn*(2); social(1); indigenous knowledge*(9) | PSD: food security*(1); organization(1) | MSD: knowledge(17); modern(2); people*(4); researcher*(1); security(1); societ*(4)
51,221,Münster D.,2018,"Performing alternative agriculture: Critique and recuperation in Zero Budget Natural Farming, South India",10.2458/v25i1.22388,2,5,4,10,4,10,1,1,62.1,DSD: political ecolog*(4); political-ecolog*(1) | LSD: anthropolog*(2); ethno*(1); ontolog*(6); food regime*(1) | PSD: extension(1); movement*(3); rural*(3); hindu*(3) | MSD: practitioner*(1)
52,1229,Cheng E.S.-K.,2025,"From slow food festival to fine dining table: politicized foodscape, gastronomy, and social sustainability in eastern Taiwan",10.1080/15528014.2023.2239103,3,4,4,5,3,4,3,4,59.9,DSD: discourse*(1); ethnograph*(1); social sustainab*(2) | LSD: empower*(1); ethno*(1); marketing*(1); social(2) | PSD: argue*(1); case stud*(1); governance*(2) | MSD: farmer(1); societ*(1); tourism*(2)
53,751,"Sangappa, Rafi D., Laxmi B., Charishma E., Srinivasa Babu K.",2023,Strengthening Millet Value Chain through Farmer Producer Organizations,10.48165/IJEE.2023.59305,0,0,8,14,8,10,4,7,59.2,LSD: education(1); supply chain*(2); value chain*(4); value-chain*(1); farmer producer organi*(1); FPO(3); minimum support price*(1); MSP(1) | PSD: extension(1); food security*(1); income*(1); market(2); price(1); rural*(1); nutrition*(2); youth*(1) | MSD: adoption*(2); farmer(1); security(3); strateg*(1)
54,7047,"Behl, Punam",2025,"How agroecology can empower women farmers: a study 
of a transition to natural farming in Himachal Pradesh, 
India",,1,1,6,10,8,11,4,6,57.35,DSD: ethnograph*(1) | LSD: autonomy*(1); empower*(5); ethno*(1); learn*(1); decision-making*(1); livelihood*(1) | PSD: engage*(1); case stud*(3); communicat*(1); income*(1); innovation*(1); rural*(2); training*(1); access to*(1) | MSD: decision*(1); farmer(2); initiative*(1); village*(2)
55,1453,"Saxena D.R., Saxena A.D., Tupkar N.J., Karim F.A., Irving A.L.",2025,Understanding Sustainable Development Goal 2: Zero Hunger,,2,3,4,6,5,6,8,13,56.8,DSD: human rights*(2); right to food*(1) | LSD: marketing*(1); poverty*(3); below poverty line*(1); Green Revolution*(1) | PSD: implement(1); food security*(1); rural*(2); urban(1); mobility*(1) | MSD: adoption*(2); decision*(1); implemented*(1); law*(2); modern(3); people*(2); security(1); systema*(1)
56,6906,"Behl, Punam; Osbahr, Henny; Cardey, Sarah",2023,"New possibilities for women’s empowerment through agroecology in Himachal Pradesh, India",,2,2,5,7,4,6,5,8,55.8,DSD: sovereign*(1); food sovereign*(1) | LSD: autonomy*(1); empower*(2); gender*(1); decision making*(2); livelihood*(1) | PSD: case stud*(3); income*(1); rural*(1); training*(1) | MSD: knowledge(1); adopting*(1); decision*(2); initiative*(3); village*(1)
57,181,Bhattacharya N.,2017,"Food sovereignty and agro-ecology in Karnataka: interplay of discourses, identities, and practices",10.1080/09614524.2017.1305328,3,10,0,0,3,4,1,2,55.7,DSD: discourse*(3); sovereign*(4); food sovereign*(3) | PSD: food security*(2); movement*(1); question(1) | MSD: security(2)
58,892,"Chowdhury M., Hadi N.",2024,"Humanitarian: A Social Issue Solving Mobile Application Featuring Fundraising, Prompt Help, Surveying, Ledger Book, and Police Report Services",10.1109/ICACCTech65084.2024.00073,1,3,4,19,2,5,2,4,55.65,DSD: social development*(3) | LSD: cooperat*(1); social(16); poverty*(1); transparen*(1) | PSD: financ*(4); organization(1) | MSD: people*(3); security(1)
59,387,Sandhu H.,2021,Bottom-up transformation of agriculture and food systems,10.3390/su13042171,2,2,5,10,3,8,1,1,55.6,DSD: social sustainab*(1); social indicator*(1) | LSD: -econo*(1); social(4); socio(1); social capital*(1); poverty*(3) | PSD: food system*(3); paradigm*(4); training*(1) | MSD: stakeholder*(1)
60,647,Lin C.-H.,2023,Crops with The Farmer’s Face on Them: An Anthropological Case Study of an Agricultural Village in Northern Taiwan [讓作物映上農人的臉： 臺灣北部一個農村的人類學觀察],,1,1,6,9,6,10,5,15,55.5,DSD: ethnograph*(1) | LSD: anthropolog*(2); cooperat*(1); ethno*(1); marketing*(2); social(2); livelihood*(1) | PSD: implement(1); case stud*(2); market(2); organization(2); rural*(2); training*(1) | MSD: labor(1); decision*(2); family(1); farmer(6); village*(5)
61,818,"Kuruganti K., Prasad C.S., Shah K.",2024,Balancing Collaboration with Autonomy: Civil Society and Agroecology Movement in India,10.1177/09730052241301501,1,2,6,9,5,9,2,7,54.95,DSD: social movement*(2) | LSD: -econo*(1); autonomy*(1); collaborat*(3); social(2); socio(1); Green Revolution*(1) | PSD: collective*(1); histor*(1); movement*(4); paradigm*(2); rural*(1) | MSD: knowledge(2); societ*(5)
62,1292,"Kumar A., Divyanshu, Prashar R.S., Chandel R.S., Dev I., Sharma S., Mehta P., Vashishat R.K.",2025,Market performance and supply chain selection dynamics for vegetables grown through sustainable practices in the Northwest Himalayan region,10.3389/fsufs.2025.1558481,0,0,6,22,5,11,2,2,54.95,LSD: -econo*(1); direct market*(1); marketing*(10); socio(1); supply chain*(7); livelihood*(2) | PSD: extension(1); market(6); training*(2); access to*(1); representation*(1) | MSD: decision*(1); farmer(1)
